"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"1250","GO:0006029",0.0247534106757377,0.984375345629571,53,114,"proteoglycan metabolic process","BP"
"10990","GO:0090716",0.0248337618289987,0.996874054924013,5,7,"adaptive immune memory response","BP"
"3951","GO:0022008",0.0249074623480803,0.977915691696652,706,1814,"neurogenesis","BP"
"7249","GO:0046330",0.0249104013484624,0.984753568560282,46,101,"positive regulation of JNK cascade","BP"
"894","GO:0002824",0.0249209403748253,0.98384204795653,56,131,"positive regulation of adaptive immune response based on somatic recombination of immune receptors built from immunoglobulin superfamily domains","BP"
"1455","GO:0006418",0.0249559534482856,0.988542452971636,21,41,"tRNA aminoacylation for protein translation","BP"
"12188","GO:1901028",0.0250945507240159,0.991066479136184,13,24,"regulation of mitochondrial outer membrane permeabilization involved in apoptotic signaling pathway","BP"
"4412","GO:0031670",0.0251573672601147,0.987314368481928,27,52,"cellular response to nutrient","BP"
"14357","GO:2000142",0.0251699045523991,0.985337125732483,38,84,"regulation of DNA-templated transcription initiation","BP"
"10075","GO:0071495",0.0253005108350254,0.978038225470436,493,1269,"cellular response to endogenous stimulus","BP"
"3797","GO:0021692",0.0254429720995702,0.992131363777948,12,19,"cerebellar Purkinje cell layer morphogenesis","BP"
"823","GO:0002703",0.0256033435946209,0.981148350628018,105,261,"regulation of leukocyte mediated immunity","BP"
"2372","GO:0009251",0.0256523386318153,0.990037479285507,16,28,"glucan catabolic process","BP"
"1912","GO:0007162",0.0257373222308032,0.980584342315654,125,304,"negative regulation of cell adhesion","BP"
"6296","GO:0042790",0.0258112550505842,0.990544827732115,14,25,"nucleolar large rRNA transcription by RNA polymerase I","BP"
"3512","GO:0019220",0.0258640864846037,0.978953139336587,227,576,"regulation of phosphate metabolic process","BP"
"4487","GO:0032185",0.0259465734075609,0.997762026441908,5,6,"septin cytoskeleton organization","BP"
"8885","GO:0060491",0.0260062039535078,0.981437776343044,91,209,"regulation of cell projection assembly","BP"
"1066","GO:0003179",0.0260079259680884,0.985961142100675,32,63,"heart valve morphogenesis","BP"
"530","GO:0002244",0.0260094228462099,0.982944939579912,60,134,"hematopoietic progenitor cell differentiation","BP"
"11275","GO:0098758",0.0260370401650761,1,3,3,"response to interleukin-8","BP"
"11276","GO:0098759",0.0260370401650761,1,3,3,"cellular response to interleukin-8","BP"
"4055","GO:0030185",0.0260922960143493,0.998057855675205,4,5,"nitric oxide transport","BP"
