"","SRR4785988.sorted.bam","SRR4785986.sorted.bam","SRR4785980.sorted.bam","SRR4785979.sorted.bam","SRR4785831.sorted.bam","SRR4785828.sorted.bam","SRR4785820.sorted.bam","SRR4785819.sorted.bam"
"RN7SL731P",0,0,0,0,0,0,0,0
"PGD",0,0,0,0,0,0,0,0
"CENPS-CORT",0,0,0,0,0,0,0,0
"CENPS",0,0,0,0,0,0,0,0
"CORT",0,0,0,0,0,0,0,0
"DFFA",0,0,0,0,0,0,0,0
"PEX14",0,0,0,0,0,0,0,0
"RN7SL614P",0,0,0,0,0,0,0,0
"CASZ1",0,0,0,0,0,0,0,0
"LOC105376733",0,0,0,0,0,0,0,0
"HSPE1P24",0,0,0,0,0,0,0,0
"LOC105376735",0,0,0,0,0,0,0,0
"CIROZ",0,0,0,0,0,0,0,0
"CFL1P6",0,0,0,0,0,0,0,0
"TARDBP",0,0,0,0,0,0,0,0
"MASP2",0,0,0,0,0,0,0,0
"SRM",0,0,0,0,0,0,0,0
"EXOSC10",0,0,0,0,0,0,0,0
"EXOSC10-AS1",0,0,0,0,0,0,0,0
"MTOR",0,0,0,0,0,0,0,0
"MTOR-AS1",0,0,0,0,0,0,0,0
"RNU6-537P",0,0,0,0,0,0,0,0
"LOC124904848",0,0,0,0,0,0,0,0
"ANGPTL7",0,0,0,0,0,0,0,0
"RNU6-291P",0,0,0,0,0,0,0,0
"RPL39P6",0,0,0,0,0,0,0,0
"UBIAD1",0,0,0,0,0,0,0,0
"UBE2V2P3",0,0,0,0,0,0,0,0
"LOC105376737",0,0,0,0,0,0,0,0
"LOC105376739",0,0,0,0,0,0,0,0
"LOC105376740",0,0,0,0,0,0,0,0
"LOC124903841",0,0,0,0,0,0,0,0
"MTCYBP45",0,0,0,0,0,0,0,0
"DISP3",0,0,0,0,0,0,0,0
"LOC124903842",0,0,0,0,0,0,0,0
"LINC01647",0,0,0,0,0,0,0,0
"FBXO2",0,0,0,0,0,0,0,0
"FBXO44",0,0,0,0,0,0,0,0
"FBXO6",0,0,0,0,0,0,0,0
"MAD2L2",0,0,0,0,0,0,0,0
"DRAXIN",0,0,0,0,0,0,0,0
"AGTRAP",0,0,0,0,0,0,0,0
"LOC101060126",0,0,0,0,0,0,0,0
"C1orf167",0,0,0,0,0,0,0,0
"C1orf167-AS1",0,0,0,0,0,0,0,0
"MTHFR",0,0,0,0,0,0,0,0
"CLCN6",0,0,0,0,0,0,0,0
"NPPA-AS1",0,0,0,0,0,0,0,0
"NPPA",0,0,0,0,0,0,0,0
"NPPB",0,0,0,0,0,0,0,0
"SBF1P2",0,0,0,0,0,0,0,0
"RNU5E-1",0,0,0,0,0,0,0,0
"RNU5E-4P",0,0,0,0,0,0,0,0
"LOC124903843",0,0,0,0,0,0,0,0
"KIAA2013",0,0,0,0,0,0,0,0
"PLOD1",0,0,0,0,0,0,0,0
"MFN2",0,0,0,0,0,0,0,0
"MIIP",0,0,0,0,0,0,0,0
"MIR6729",0,0,0,0,0,0,0,0
"RN7SL649P",0,0,0,0,0,0,0,0
